Naam;ISO;Groep
Middelfrans;frm;historisch
Middelhoogduits;gmh;historisch
Middellaagduits;gmi;historisch
Middelnederlands;dum;historisch
Oud Spaans;osp;historisch
Oudfrans;fro;historisch
Oudhoogduits;goh;historisch
Oudnederlands;odt;historisch
Assamees;asm;migratie
Assyrisch Neo-Aramees;aii;migratie
Basjkiers, Bashkir, Bashkort;bak;migratie
Beloetsji, Baluchi;bal;migratie
Bretoens, Brezhoneg;bre;migratie
Chaldeeuws Neo-Aramees;cld;migratie
Dari;prs;migratie
Ewondo, Beti;ewo;migratie
Fries, Frysk;fry;migratie
Fula, Fulani, Fulah;ful;migratie
Hassaniya Arabisch ;mey;migratie
Kabardijns, Oost-Circassisch;kbd;migratie
Kabylisch, Kabyle, Taqbaylit, Tazwawt;kab;migratie
Kameroens Pidgin Engels, Kameroens Creools;wes;migratie
Koerdisch;kur;migratie
Kpelle;kpe;migratie
Kurmanci, Noord-Koerdisch;kmr;migratie
Loma;lom;migratie
Maithili;mai;migratie
Malayalam;mal;migratie
Mesopotamisch-Arabisch, Iraaks-Arabisch;acm;migratie
Nedersaksisch;nds;migratie
Noordelijk Kissi, Kisi;kqs;migratie
Occitaans;oci;migratie
Odia;ori;migratie
Oezbeeks;uzb;migratie
Armeens;hye;migratie
Papiaments, Papiamento, Papiamentu;pap;migratie
Pasjtoe, Pashto;pus;migratie
Schots, Scots;sco;migratie
Susu, Sosoxui;sus;migratie
Syrisch, Syrisch Aramees;syr;migratie
Toma;tod;migratie
Tsjetsjeens, Chechen;che;migratie
Tsjoevasjisch, Chuvash;chv;migratie
Tunesisch Arabisch;aeb;migratie
Turkmeens;tuk;migratie
Welsh, Cymraeg;cym;migratie
Zazaki, Kirmanckî;zza;migratie
Zuidelijk Kissi;kss;migratie
Oromo;orm;migratie
Sidamo, Sidaamu Afoo, Sidaama;sid;migratie
Tigré;tig;migratie
Tigrinya;tir;migratie
Arabisch;ara;migratie
Atlas-Tamazight, Centraal Atlas Tamazight;tzm;migratie
